Code,Year,Has_MH_Legislation
AFG,2016,Yes
AGO,2016,No
ALB,2016,Yes
ARE,2016,Yes
ARG,2016,Yes
ARM,2016,Yes
ATG,2016,Yes
AUS,2015,Yes
AUT,2015,No
AZE,2016,Yes
BDI,2017,Yes
BEL,2013,Yes
BFA,2016,Yes
BGD,2016,No
BGR,2016,No
BHR,2017,Yes
BHS,2015,Yes
BIH,2015,Yes
BLR,2016,Yes
BLZ,2016,Yes
BOL,2016,Yes
BRA,2016,Yes
BRB,2015,Yes
BRN,2016,No
BTN,2016,Yes
BWA,2017,Yes
CAF,2017,Yes
CAN,2017,Yes
CHE,2015,Yes
CHL,2016,Yes
CHN,2015,Yes
CIV,2016,Yes
CMR,2017,Yes
COG,2016,Yes
COK,2016,Yes
COL,2016,Yes
COM,2017,No
CPV,2017,Yes
CRI,2016,Yes
CUB,2016,No
CYP,2015,Yes
CZE,2015,Yes
DEU,2015,Yes
DNK,2016,Yes
DOM,2016,Yes
DZA,2016,No
ECU,2016,Yes
EGY,2016,Yes
ERI,2016,Yes
ESP,2015,Yes
EST,2016,Yes
ETH,2017,No
FIN,2017,No
FJI,2016,Yes
FRA,2017,Yes
FSM,2017,No
GAB,2016,Yes
GBR,2017,Yes
GEO,2016,Yes
GHA,2016,Yes
GIN,2016,Yes
GMB,2016,Yes
GNB,2016,No
GNQ,2017,Yes
GRC,2016,Yes
GRD,2016,No
GUY,2016,Yes
HND,2014,Yes
HRV,2016,Yes
HTI,2016,Yes
HUN,2016,No
IDN,2016,Yes
IND,2016,Yes
IRL,2016,Yes
IRN,2017,Yes
IRQ,2017,Yes
ISL,2016,Yes
ISR,2016,Yes
ITA,2015,Yes
JAM,2015,Yes
JOR,2016,Yes
JPN,2016,Yes
KEN,2016,Yes
KGZ,2016,Yes
KHM,2016,Yes
KIR,2015,Yes
KNA,2017,No
KOR,2016,Yes
LBN,2015,Yes
LBR,2016,Yes
LBY,2016,No
LCA,2016,No
LKA,2017,Yes
LTU,2016,Yes
LUX,2015,No
LVA,2015,No
MAR,2016,Yes
MCO,2016,Yes
MDA,2015,Yes
MDG,2016,Yes
MDV,2017,Yes
MEX,2016,Yes
MHL,2017,Yes
MKD,2017,Yes
MLI,2016,No
MMR,2016,Yes
MNE,2016,Yes
MNG,2016,No
MOZ,2016,Yes
MRT,2013,Yes
MUS,2017,Yes
MYS,2016,Yes
NAM,2016,No
NER,2016,Yes
NGA,2017,No
NIC,2017,No
NIU,2017,Yes
NLD,2015,Yes
NOR,2016,Yes
NPL,2016,Yes
NRU,2016,Yes
NZL,2016,Yes
OMN,2015,Yes
PAK,2016,No
PAN,2016,Yes
PER,2016,Yes
PHL,2016,Yes
POL,2016,Yes
PRT,2016,Yes
PRY,2016,Yes
QAT,2016,Yes
ROU,2016,Yes
RUS,2015,Yes
RWA,2016,Yes
SAU,2016,Yes
SDN,2015,Yes
SEN,2016,Yes
SGP,2016,Yes
SLB,2017,YES
SLE,2017,Yes
SLV,2016,Yes
SRB,2017,Yes
SSD,2016,No
STP,2016,Yes
SUR,2016,Yes
SVK,2017,Yes
SVN,2016,No
SWE,2016,Yes
SWZ,2017,No
SYC,2016,No
SYR,2016,Yes
TCD,2016,Yes
TGO,2016,Yes
THA,2016,Yes
TJK,2016,No
TLS,2016,Yes
TON,2016,Yes
TTO,2017,Yes
TUN,2017,Yes
TUR,2016,Yes
TZA,2015,Yes
UGA,2016,Yes
UKR,2016,No
URY,2016,Yes
USA,2016,Yes
UZB,2016,Yes
VCT,2017,No
VNM,2016,No
VUT,2016,Yes
WSM,2016,Yes
YEM,2016,No
ZAF,2016,Yes
ZMB,2016,Yes
ZWE,2016,Yes
KEN,2014,No
NER,2014,No
SLE,2014,No
COG,2014,No
LSO,2014,No
SEN,2014,No
SSD,2014,No
SWZ,2014,No
MUS,2014,No
SYC,2014,No
USA,2014,No
HTI,2014,No
BOL,2014,No
CUB,2014,No
DMA,2014,No
VCT,2014,No
BHR,2014,No
KWT,2014,No
SOM,2014,No
DJI,2014,No
EGY,2014,No
LBN,2014,No
LBY,2014,No
EST,2014,No
DEU,2014,No
ISL,2014,No
NOR,2014,No
SMR,2014,No
SVN,2014,No
CHE,2014,No
TJK,2014,No
BLR,2014,No
HUN,2014,No
BTN,2014,No
MDV,2014,No
VUT,2014,No
NRU,2014,No
TON,2014,No
TUV,2014,No
BEN,2014,Yes
BFA,2014,Yes
BDI,2014,Yes
CAF,2014,Yes
COD,2014,Yes
ERI,2014,Yes
ETH,2014,Yes
GMB,2014,Yes
GIN,2014,Yes
LBR,2014,Yes
MDG,2014,Yes
MWI,2014,Yes
MLI,2014,Yes
MOZ,2014,Yes
RWA,2014,Yes
TGO,2014,Yes
UGA,2014,Yes
ZWE,2014,Yes
CIV,2014,Yes
GHA,2014,Yes
NGA,2014,Yes
STP,2014,Yes
ZMB,2014,Yes
DZA,2014,Yes
BWA,2014,Yes
NAM,2014,Yes
ZAF,2014,Yes
BRB,2014,Yes
CAN,2014,Yes
CHL,2014,Yes
TTO,2014,Yes
URY,2014,Yes
SLV,2014,Yes
GTM,2014,Yes
GUY,2014,Yes
HND,2014,Yes
PRY,2014,Yes
ARG,2014,Yes
BLZ,2014,Yes
BRA,2014,Yes
COL,2014,Yes
CRI,2014,Yes
DOM,2014,Yes
ECU,2014,Yes
GRD,2014,Yes
JAM,2014,Yes
MEX,2014,Yes
PAN,2014,Yes
PER,2014,Yes
LCA,2014,Yes
SUR,2014,Yes
OMN,2014,Yes
QAT,2014,Yes
SAU,2014,Yes
ARE,2014,Yes
AFG,2014,Yes
MAR,2014,Yes
PAK,2014,Yes
SDN,2014,Yes
SYR,2014,Yes
YEM,2014,Yes
IRN,2014,Yes
IRQ,2014,Yes
JOR,2014,Yes
TUN,2014,Yes
AUT,2014,Yes
BEL,2014,Yes
HRV,2014,Yes
CYP,2014,Yes
CZE,2014,Yes
DNK,2014,Yes
FIN,2014,Yes
FRA,2014,Yes
GRC,2014,Yes
ISR,2014,Yes
ITA,2014,Yes
LVA,2014,Yes
LTU,2014,Yes
LUX,2014,Yes
MLT,2014,Yes
MCO,2014,Yes
NLD,2014,Yes
POL,2014,Yes
PRT,2014,Yes
RUS,2014,Yes
ESP,2014,Yes
SWE,2014,Yes
GBR,2014,Yes
ARM,2014,Yes
GEO,2014,Yes
KGZ,2014,Yes
MDA,2014,Yes
UZB,2014,Yes
ALB,2014,Yes
AZE,2014,Yes
BIH,2014,Yes
BGR,2014,Yes
MNE,2014,Yes
ROU,2014,Yes
SRB,2014,Yes
MKD,2014,Yes
TUR,2014,Yes
TKM,2014,Yes
BGD,2014,Yes
MMR,2014,Yes
NPL,2014,Yes
IND,2014,Yes
IDN,2014,Yes
LKA,2014,Yes
TLS,2014,Yes
THA,2014,Yes
AUS,2014,Yes
BRN,2014,Yes
JPN,2014,Yes
NZL,2014,Yes
KOR,2014,Yes
SGP,2014,Yes
KHM,2014,Yes
KIR,2014,Yes
LAO,2014,Yes
FSM,2014,Yes
PNG,2014,Yes
PHL,2014,Yes
WSM,2014,Yes
SLB,2014,Yes
VNM,2014,Yes
CHN,2014,Yes
COK,2014,Yes
FJI,2014,Yes
MYS,2014,Yes
MHL,2014,Yes
