Code,Year,Has_MH_Services
AFG,2016,Yes
AGO,2016,No
ALB,2016,Yes
ARE,2016,Yes
ARG,2016,Yes
ARM,2016,Yes
ATG,2016,Yes
AUS,2015,Yes
AUT,2015,No
AZE,2016,Yes
BDI,2017,No
BEL,2013,Yes
BFA,2016,No
BGD,2016,No
BGR,2016,No
BHR,2017,No
BHS,2015,Yes
BIH,2015,Yes
BLR,2016,Yes
BLZ,2016,No
BOL,2016,No
BRA,2016,Yes
BRB,2015,Yes
BRN,2016,Yes
BTN,2016,No
BWA,2017,Yes 
CAF,2017,No
CAN,2017,Yes
CHE,2015,No
CHL,2016,No
CHN,2015,Yes
CIV,2016,No
CMR,2017,No
COG,2016,No
COK,2016,Yes
COL,2016,Yes
COM,2017,Yes
CPV,2017,Yes
CRI,2016,No
CUB,2016,No
CYP,2015,Yes
CZE,2015,No
DEU,2015,Yes
DNK,2016,Yes
DOM,2016,Yes
DZA,2016,Yes
ECU,2016,No
EGY,2016,Yes
ERI,2016,No
ESP,2015,No
EST,2016,Yes
ETH,2017,No
FIN,2017,Yes
FJI,2016,Yes
FRA,2017,No
FSM,2017,Yes
GAB,2016,Yes
GBR,2017,Yes
GEO,2016,Yes
GHA,2016,Yes
GIN,2016,No
GMB,2016,Yes
GNB,2016,No
GNQ,2017,Yes
GRC,2016,Yes
GRD,2016,Yes
GTM,2016,No
GUY,2016,Yes
HND,2014,No
HRV,2016,Yes 
HTI,2016,No
HUN,2016,No
IDN,2016,Yes
IND,2016,Yes
IRL,2016,Yes
IRN,2017,Yes
IRQ,2017,Yes
ISL,2016,No
ISR,2016,Yes
ITA,2015,Yes
JAM,2015,Yes
JOR,2016,No 
JPN,2016,Yes
KEN,2016,Yes
KGZ,2016,Yes
KHM,2016,No
KIR,2015,Yes
KNA,2017,Yes
KOR,2016,Yes
LBN,2015,Yes
LBR,2016,Yes
LBY,2016,No
LCA,2016,Yes
LKA,2017,Yes
LTU,2016,Yes
LUX,2015,Yes
LVA,2015,No
MAR,2016,Yes
MCO,2016,Yes
MDA,2015,Yes
MDG,2016,yes
MDV,2017,No
MEX,2016,Yes
MHL,2017,No
MKD,2017,Yes
MLI,2016,No
MMR,2016,Yes
MNE,2016,Yes
MNG,2016,Yes
MOZ,2016,No
MRT,2013,No
MUS,2017,Yes
MYS,2016,Yes
NAM,2016,Yes
NER,2016,No
NGA,2017,No
NIC,2017,Yes
NIU,2017,Yes
NLD,2015,Yes
NOR,2016,Yes
NPL,2016,No
NRU,2016,Yes
NZL,2016,Yes
OMN,2015,No
PAK,2016,Yes
PAN,2016,No
PER,2016,Yes
PHL,2016,2018
POL,2016,Yes
PRT,2016,Yes
PRY,2016,No
QAT,2016,Yes
ROU,2016,Yes
RUS,2015,Yes
RWA,2016,No
SAU,2016,Yes
SDN,2015,Yes
SEN,2016,Yes
SGP,2016,Yes
SLE,2017,No
SLV,2016,No
SRB,2017,Yes
SSD,2016,No
STP,2016,No
SUR,2016,Yes
SVK,2017,Yes
SVN,2016,Yes
SWE,2016,No
SWZ,2017,Yes
SYC,2016,Yes
SYR,2016,No
TCD,2016,No
TGO,2016,No
THA,2016,Yes
TJK,2016,Yes
TLS,2016,No
TON,2016,Yes
TTO,2017,Yes
TUN,2017,No
TUR,2016,No
TZA,2015,Yes
UGA,2016,Yes
UKR,2016,Yes
URY,2016,Yes
USA,2016,No
UZB,2016,Yes
VCT,2017,Yes
VNM,2016,No
VUT,2016,Yes
WSM,2016,Yes
YEM,2016,No
ZAF,2016,Yes
ZMB,2016,Yes
ZWE,2016,Yes
BEN,2014,No
BFA,2014,No
BDI,2014,No
CAF,2014,No
ERI,2014,No
ETH,2014,No
GMB,2014,No
GIN,2014,No
LBR,2014,No
MLI,2014,No
MOZ,2014,No
NER,2014,No
RWA,2014,No
TGO,2014,No
CIV,2014,No
NGA,2014,No
STP,2014,No
SSD,2014,No
CHL,2014,No
USA,2014,No
HTI,2014,No
BOL,2014,No
SLV,2014,No
GTM,2014,No
HND,2014,No
PRY,2014,No
BLZ,2014,No
CRI,2014,No
CUB,2014,No
ECU,2014,No
MEX,2014,No
PAN,2014,No
PER,2014,No
BHR,2014,No
KWT,2014,No
OMN,2014,No
QAT,2014,No
SOM,2014,No
DJI,2014,No
SYR,2014,No
YEM,2014,No
JOR,2014,No
AUT,2014,No
CZE,2014,No
FRA,2014,No
DEU,2014,No
ISL,2014,No
LVA,2014,No
NLD,2014,No
NOR,2014,No
SMR,2014,No
ESP,2014,No
SWE,2014,No
CHE,2014,No
BGR,2014,No
HUN,2014,No
TUR,2014,No
NPL,2014,No
BTN,2014,No
TLS,2014,No
MDV,2014,No
KHM,2014,No
LAO,2014,No
FSM,2014,No
PHL,2014,No
VUT,2014,No
VNM,2014,No
MHL,2014,No
KEN,2014,Yes
MDG,2014,Yes
MWI,2014,Yes
SLE,2014,Yes
UGA,2014,Yes
TZA,2014,Yes
ZWE,2014,Yes
GHA,2014,Yes
LSO,2014,Yes
SEN,2014,Yes
SWZ,2014,Yes
ZMB,2014,Yes
DZA,2014,Yes
BWA,2014,Yes
MUS,2014,Yes
NAM,2014,Yes
SYC,2014,Yes
ZAF,2014,Yes
BRB,2014,Yes
TTO,2014,Yes
URY,2014,Yes
GUY,2014,Yes
ARG,2014,Yes
BRA,2014,Yes
COL,2014,Yes
DMA,2014,Yes
DOM,2014,Yes
GRD,2014,Yes
JAM,2014,Yes
LCA,2014,Yes
VCT,2014,Yes
SUR,2014,Yes
SAU,2014,Yes
ARE,2014,Yes
AFG,2014,Yes
EGY,2014,Yes
MAR,2014,Yes
PAK,2014,Yes
SDN,2014,Yes
IRN,2014,Yes
IRQ,2014,Yes
LBN,2014,Yes
LBY,2014,Yes
TUN,2014,Yes
BEL,2014,Yes
HRV,2014,Yes
CYP,2014,Yes
DNK,2014,Yes
EST,2014,Yes
FIN,2014,Yes
GRC,2014,Yes
ISR,2014,Yes
ITA,2014,Yes
LTU,2014,Yes
LUX,2014,Yes
MLT,2014,Yes
MCO,2014,Yes
POL,2014,Yes
PRT,2014,Yes
RUS,2014,Yes
SVN,2014,Yes
GBR,2014,Yes
TJK,2014,Yes
ARM,2014,Yes
GEO,2014,Yes
KGZ,2014,Yes
MDA,2014,Yes
UZB,2014,Yes
ALB,2014,Yes
AZE,2014,Yes
BLR,2014,Yes
BIH,2014,Yes
MNE,2014,Yes
ROU,2014,Yes
SRB,2014,Yes
MKD,2014,Yes
TKM,2014,Yes
BGD,2014,Yes
MMR,2014,Yes
IND,2014,Yes
IDN,2014,Yes
LKA,2014,Yes
THA,2014,Yes
AUS,2014,Yes
BRN,2014,Yes
JPN,2014,Yes
NZL,2014,Yes
KOR,2014,Yes
SGP,2014,Yes
PNG,2014,Yes
WSM,2014,Yes
SLB,2014,Yes
CHN,2014,Yes
COK,2014,Yes
FJI,2014,Yes
MYS,2014,Yes
NRU,2014,Yes
TON,2014,Yes
TUV,2014,Yes
